2517:147+0:2748862@1,0,0;map 1
15269:912+0:15500767@19,9,1;map 19
19153:1145+0:19384228@20,11,5;map 20
24036:1438+0:24267488@21,0,5;map 21
29286:1753+0:29517475@21,14,4;injury 18
29470:1764+0:29701013@21,19,5;grievous-injury 18
32836:1966+0:33067663@21,14,2;injury 18
32886:1969+0:33117639@21,19,5;grievous-injury 18
40019:2397+0:40250930@20,15,9;map 20
